metric,method_A,method_B,n_common,wilcoxon_n_eff,wilcoxon_W,wilcoxon_p_raw,wilcoxon_mode,wilcoxon_p_holm,sign_n,sign_pos,sign_p_raw,sign_p_holm,HL_estimate(A-B),median_diff(A-B)
mcc,ILASTIK,SAMJ,81,77,12.0,1.0231238339016198e-14,approx(pratt),3.2739962684851833e-13,77,76,1.0323214044661785e-21,3.509892775185007e-20,0.38447140804972385,0.38447140804972385
mcc,ILASTIK,SEMI,81,81,1580.0,0.7064244437699296,approx(pratt),1.0,81,39,0.8243132151052083,1.0,-0.021717791711364953,-0.021717791711364953
mcc,ILASTIK,UNET,81,81,1383.0,0.19216749199185645,approx(pratt),1.0,81,48,0.1192736683117644,0.9541893464941152,0.06469660121227033,0.06469660121227033
mcc,OTSU,OVAL,81,80,0.0,5.565934185386101e-15,approx(pratt),2.5046703834237455e-13,80,0,1.6543612251060553e-24,7.444625512977249e-23,-0.3099996972696574,-0.3099996972696574
mcc,OTSU,PLANKSTER,81,80,10.0,8.079213795553208e-15,approx(pratt),2.989309104354687e-13,80,1,1.3400325923359048e-22,5.360130369343619e-21,-0.8351793196404721,-0.8351793196404721
mcc,OTSU,PORED2,81,80,9.0,7.784463170661418e-15,approx(pratt),2.9580960048513386e-13,80,1,1.3400325923359048e-22,5.226127110110029e-21,-0.546055224897105,-0.546055224897105
mcc,OTSU,SAMJ,81,80,8.0,7.500302054575282e-15,approx(pratt),2.92511780128436e-13,80,1,1.3400325923359048e-22,5.092123850876438e-21,-0.3681224529228976,-0.3681224529228976
mcc,OTSU,SEMI,81,80,3.0,6.225682172924233e-15,approx(pratt),2.6147865126281777e-13,80,1,1.3400325923359048e-22,4.958120591642848e-21,-0.889261255270777,-0.889261255270777
mcc,OTSU,UNET,81,80,3.0,6.225682172924233e-15,approx(pratt),2.5525296908989353e-13,80,1,1.3400325923359048e-22,4.8241173324092574e-21,-0.789044307553494,-0.789044307553494
mcc,OVAL,PLANKSTER,81,80,84.0,1.189762440998076e-13,approx(pratt),2.4985011260959595e-12,80,2,5.3617847305687254e-21,1.6621532664763049e-19,-0.4754189263580975,-0.4754189263580975
mcc,OVAL,PORED2,81,74,514.0,9.722096401450591e-08,approx(pratt),1.4583144602175886e-06,74,14,6.221761416347879e-08,9.954818266156606e-07,-0.18241894206332984,-0.18241894206332984
mcc,OVAL,SAMJ,81,60,961.0,0.00555694525048471,approx(pratt),0.0555694525048471,60,20,0.01348929373119186,0.14838223104311046,0.0,0.0
mcc,OVAL,SEMI,81,79,64.0,6.028641689658212e-14,approx(pratt),1.6277332562077173e-12,79,3,2.72109334305444e-19,7.346952026246988e-18,-0.5142483375042628,-0.5142483375042628
mcc,OVAL,UNET,81,80,73.0,8.037257313365507e-14,approx(pratt),1.8485691820740668e-12,80,2,5.3617847305687254e-21,1.6085354191706176e-19,-0.4536176268468155,-0.4536176268468155
mcc,PLANKSTER,PORED2,81,80,111.0,3.08134811061085e-13,approx(pratt),6.1626962212217e-12,80,75,4.252865905071769e-17,9.781591581665069e-16,0.28857785016027493,0.28857785016027493
